               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.017053,            0.018981,                   0,             0.78195,             0.85292,             0.86313,             0.55768,            0.011077,           0.0068489,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017534,             0.01995,                   0,             0.78345,             0.82134,             0.84836,             0.55582,            0.011044,           0.0067121,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.017474,            0.018501,                   0,              0.7083,             0.84324,             0.79047,             0.45453,            0.011634,           0.0070143,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020638,            0.019922,                   0,             0.73014,             0.90811,             0.87835,             0.54844,            0.011039,           0.0067518,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.018178,            0.017757,                   0,             0.79722,              0.9027,             0.89565,             0.58051,            0.011121,           0.0066241,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019486,            0.019561,                   0,             0.78095,             0.84794,             0.86506,             0.52178,            0.011021,           0.0066955,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.018897,            0.019598,                   0,             0.75514,             0.88354,             0.88885,             0.56866,            0.010758,            0.006584,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.016599,            0.018181,                   0,             0.82714,             0.87944,             0.93225,             0.60736,            0.010968,           0.0065713,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.016582,            0.019963,                   0,             0.83788,              0.9027,             0.93495,             0.59565,            0.011053,           0.0066951,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.017356,            0.017756,                   0,             0.82562,              0.9027,             0.93194,             0.62314,            0.011339,           0.0064694,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.017642,            0.017626,                   0,              0.8842,               0.908,             0.94605,               0.669,            0.011604,           0.0061439,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,             0.01799,            0.017878,                   0,             0.90754,              0.9027,             0.96068,             0.68759,            0.011259,           0.0059271,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.017948,            0.018536,                   0,             0.92935,             0.85329,             0.95987,             0.69743,            0.010691,           0.0058454,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.016115,            0.018169,                   0,             0.83836,              0.9027,             0.93158,             0.63866,            0.010763,           0.0062078,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.020749,            0.018887,                   0,             0.83177,             0.83243,             0.91485,             0.62896,            0.010826,            0.006419,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.018413,            0.018604,                   0,             0.80431,             0.91093,             0.92458,             0.63367,             0.01064,           0.0062216,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.019119,            0.017769,                   0,             0.78908,              0.9027,             0.90794,             0.62742,            0.010272,           0.0062104,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.020516,            0.017499,                   0,             0.80957,             0.92432,             0.92194,             0.65122,            0.010341,           0.0059671,                   0,            0.004753,            0.004753,            0.004753
                 108,             0.02187,             0.01805,                   0,             0.85486,             0.89189,             0.91738,             0.64118,             0.01017,           0.0061178,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.017154,            0.017305,                   0,             0.87556,             0.91892,             0.93975,             0.69346,            0.010505,           0.0056895,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.016501,            0.016965,                   0,             0.89676,              0.8973,             0.95516,             0.69978,            0.011546,            0.005483,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.017724,            0.017066,                   0,              0.8643,             0.92957,             0.96041,             0.69845,            0.010139,           0.0054645,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.016025,            0.017001,                   0,             0.80148,             0.94054,             0.92951,             0.64599,            0.010396,           0.0058912,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.017202,            0.018445,                   0,             0.83828,              0.8973,             0.93083,             0.64883,           0.0095551,           0.0057864,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.020251,            0.017625,                   0,             0.85598,              0.9027,             0.94606,             0.66801,            0.010322,           0.0056972,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.015958,            0.017341,                   0,             0.86378,             0.96216,              0.9652,             0.68035,            0.010334,           0.0057684,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.019912,            0.018176,                   0,             0.86681,             0.98919,             0.97049,             0.73528,           0.0097321,           0.0054053,                   0,           0.0043075,           0.0043075,           0.0043075
